id_cmp1,id_cmp2,genes_cmp1_only,genes_cmp2_only,genes_overlap,num_cmp1_only,num_cmp2_only,num_overlap,overlap / cmp1,overlap / cmp2,pval,fdr
regulation of developmental process,developmental process,,DMRT1;COL9A3;BRIP1;BCL2L1,INHBA;SOX9;TGFB2;BCL2;KITLG,0,4,5,1.0,0.5555555555555556,0.0,0.0
regulation of developmental process,hemoglobin metabolic process,TGFB2;BCL2;KITLG;SOX9,,INHBA,4,0,1,0.2,1.0,0.0,0.0
regulation of developmental process,negative regulation of biological process,,BCL2L1,INHBA;SOX9;TGFB2;BCL2;KITLG,0,1,5,1.0,0.8333333333333334,0.0,0.0
regulation of developmental process,regulation of localization,,BCL2L1,INHBA;SOX9;TGFB2;BCL2;KITLG,0,1,5,1.0,0.8333333333333334,0.0,0.0
regulation of developmental process,regulation of response to stimulus,,BCL2L1,INHBA;SOX9;TGFB2;BCL2;KITLG,0,1,5,1.0,0.8333333333333334,0.0,0.0
regulation of developmental process,cell death,SOX9,BCL2L1,INHBA;TGFB2;BCL2;KITLG,1,1,4,0.8,0.8,0.003968253968254176,0.007387988560534229
regulation of developmental process,male sex differentiation,,DMRT1;COL9A3;BRIP1;BCL2L1,INHBA;SOX9;TGFB2;BCL2;KITLG,0,4,5,1.0,0.5555555555555556,0.0,0.0
regulation of developmental process,cell surface receptor signaling pathway,,BCL2L1,INHBA;SOX9;TGFB2;BCL2;KITLG,0,1,5,1.0,0.8333333333333334,0.0,0.0
regulation of developmental process,regulation of multicellular organismal development,,,INHBA;SOX9;TGFB2;BCL2;KITLG,0,0,5,1.0,1.0,0.0,0.0
regulation of developmental process,sex determination,INHBA;TGFB2;BCL2;KITLG,DMRT1,SOX9,4,1,1,0.2,0.5,0.2222222222222212,0.2504327755337561
regulation of developmental process,ovarian follicle development,TGFB2;KITLG;SOX9,BCL2L1,INHBA;BCL2,3,1,2,0.4,0.6666666666666666,0.08333333333333304,0.11116803278688558
regulation of developmental process,regulation of stem cell differentiation,INHBA;KITLG;BCL2,,TGFB2;SOX9,3,0,2,0.4,1.0,0.0,0.0
regulation of developmental process,enzyme linked receptor protein signaling pathway,KITLG;BCL2,,INHBA;TGFB2;SOX9,2,0,3,0.6,1.0,0.0,0.0
regulation of developmental process,regulation of immune system process,,,INHBA;SOX9;TGFB2;BCL2;KITLG,0,0,5,1.0,1.0,0.0,0.0
regulation of developmental process,anatomical structure morphogenesis,KITLG,BCL2L1,INHBA;TGFB2;BCL2;SOX9,1,1,4,0.8,0.8,0.003968253968254176,0.007387988560534229
regulation of developmental process,homeostasis of number of cells within a tissue,INHBA;TGFB2;KITLG,,BCL2;SOX9,3,0,2,0.4,1.0,0.0,0.0
regulation of developmental process,mitochondrial membrane organization,INHBA;TGFB2;KITLG;SOX9,BCL2L1,BCL2,4,1,1,0.2,0.5,0.2222222222222212,0.2504327755337561
regulation of developmental process,regulation of metabolic process,,BRIP1;DMRT1,INHBA;SOX9;TGFB2;BCL2;KITLG,0,2,5,1.0,0.7142857142857143,0.0,0.0
regulation of developmental process,embryo development,BCL2,,INHBA;TGFB2;KITLG;SOX9,1,0,4,0.8,1.0,0.0,0.0
regulation of developmental process,immune system process,SOX9,,INHBA;TGFB2;BCL2;KITLG,1,0,4,0.8,1.0,0.0,0.0
regulation of developmental process,neuron death,INHBA;TGFB2;KITLG;SOX9,BCL2L1,BCL2,4,1,1,0.2,0.5,0.2222222222222212,0.2504327755337561
regulation of developmental process,kidney morphogenesis,INHBA;TGFB2;KITLG,,BCL2;SOX9,3,0,2,0.4,1.0,0.0,0.0
regulation of developmental process,response to abiotic stimulus,INHBA;KITLG,BCL2L1,TGFB2;BCL2;SOX9,2,1,3,0.6,0.75,0.023809523809523725,0.036787974683545374
regulation of developmental process,regulation of biosynthetic process,KITLG,BRIP1;DMRT1,INHBA;TGFB2;BCL2;SOX9,1,2,4,0.8,0.6666666666666666,0.023809523809523836,0.036787974683545374
regulation of developmental process,SMAD protein signal transduction,KITLG;BCL2;SOX9,,INHBA;TGFB2,3,0,2,0.4,1.0,0.0,0.0
regulation of developmental process,exocrine system development,INHBA;KITLG;BCL2,,TGFB2;SOX9,3,0,2,0.4,1.0,0.0,0.0
regulation of developmental process,regulation of epithelial to mesenchymal transition,INHBA;KITLG;BCL2,,TGFB2;SOX9,3,0,2,0.4,1.0,0.0,0.0
regulation of developmental process,cell cycle,KITLG;BCL2;SOX9,BRIP1;BCL2L1,INHBA;TGFB2,3,2,2,0.4,0.5,0.26190476190476186,0.2937966685812757
regulation of developmental process,regulation of mitochondrial membrane potential,INHBA;TGFB2;KITLG;SOX9,BCL2L1,BCL2,4,1,1,0.2,0.5,0.2222222222222212,0.2504327755337561
regulation of developmental process,gland development,INHBA;KITLG,,TGFB2;BCL2;SOX9,2,0,3,0.6,1.0,0.0,0.0
