,positive regulation of metabolic process,positive regulation of phosphorus metabolic process,regulation of catalytic activity,regulation of metabolic process,regulation of primary metabolic process,regulation of protein modification process,regulation of phosphorus metabolic process,regulation of transferase activity,biological regulation,negative regulation of chromosome organization,regulation of cell cycle G2/M phase transition,positive regulation of biological process,regulation of cell population proliferation,negative regulation of biological process,regulation of response to stimulus,regulation of cell projection organization,regulation of cellular component organization,regulation of cell death,regulation of cell differentiation,regulation of localization,regulation of locomotion,positive regulation of multicellular organismal process,regulation of developmental process,regulation of multicellular organismal process,multicellular organismal process,stem cell differentiation,anatomical structure maturation,epithelium development,tissue development,circulatory system development,nervous system development,pattern specification process,sex differentiation,immune system process,reproductive system development,cardiovascular system development,digestive system development,gland development,system development,movement of cell or subcellular component,cell division,cell cycle checkpoint,cell cycle phase transition,meiotic chromosome segregation,meiotic nuclear division,cell projection organization,supramolecular fiber organization,cytoskeleton organization,microtubule polymerization or depolymerization,cellular process,chromosome segregation,mitotic cell cycle,DNA replication,DNA metabolic process,DNA repair,cellular macromolecule metabolic process,DNA geometric change,protein-DNA complex subunit organization,chromosome localization,response to wounding
positive regulation of metabolic process,1.0,0.66593,0.45059,0.62926,0.5974,0.3884,0.46264,0.40332,0.31772,0.20795,0.22715,0.56156,0.42573,0.33463,0.34702,0.33049,0.31364,0.34151,0.33049,0.30082,0.3439,0.44886,0.35806,0.35806,0.1168,0.0636,0.07529,0.0787,0.09128,0.0649,0.06101,0.07166,0.08054,0.11433,0.06619,0.08653,0.07389,0.07214,0.08651,0.12469,0.07892,0.07352,0.07038,0.05136,0.04705,0.08057,0.07054,0.07695,0.05485,0.12056,0.07371,0.06883,0.03705,0.04605,0.04333,0.06826,0.06761,0.06658,0.07266,0.09653
positive regulation of phosphorus metabolic process,0.66593,1.0,0.36455,0.49335,0.36783,0.4274,0.66539,0.51383,0.30006,0.20757,0.22502,0.53592,0.44742,0.30493,0.31259,0.33588,0.32449,0.34763,0.33588,0.24914,0.31337,0.33588,0.27071,0.27071,0.09452,0.04741,0.05669,0.06009,0.06978,0.05083,0.04785,0.05602,0.06381,0.09355,0.05288,0.07071,0.05835,0.05696,0.07091,0.099,0.06182,0.05534,0.05388,0.04096,0.0379,0.0625,0.05589,0.06177,0.04188,0.09625,0.05949,0.05596,0.02983,0.03798,0.03504,0.0546,0.04984,0.05276,0.05634,0.07215
regulation of catalytic activity,0.45059,0.36455,1.0,0.50664,0.38599,0.30553,0.40338,0.60697,0.3721,0.20973,0.24101,0.39546,0.34983,0.35664,0.41169,0.33625,0.32307,0.3548,0.33625,0.46624,0.36787,0.35769,0.39596,0.39596,0.15655,0.08538,0.10041,0.10522,0.12295,0.0845,0.08044,0.09334,0.10621,0.15273,0.0853,0.11301,0.09576,0.09248,0.1138,0.16755,0.10524,0.09861,0.09388,0.06522,0.05924,0.10491,0.09017,0.10135,0.07216,0.16232,0.09745,0.09053,0.04703,0.05777,0.05493,0.08917,0.09163,0.08844,0.09772,0.13104
regulation of metabolic process,0.62926,0.49335,0.50664,1.0,0.70392,0.55268,0.69679,0.59563,0.48169,0.29817,0.34821,0.50249,0.5004,0.49613,0.5124,0.49121,0.47007,0.52138,0.49121,0.44469,0.50934,0.41939,0.5169,0.5169,0.17287,0.08939,0.10565,0.11185,0.13159,0.08885,0.08493,0.09825,0.11365,0.16905,0.08958,0.12221,0.10101,0.09689,0.1238,0.18387,0.11268,0.10398,0.09925,0.06759,0.0612,0.11041,0.09438,0.1088,0.0751,0.17864,0.10489,0.09718,0.04834,0.05997,0.05697,0.09467,0.09617,0.09441,0.10442,0.13968
regulation of primary metabolic process,0.5974,0.36783,0.38599,0.70392,1.0,0.48478,0.50043,0.43608,0.3513,0.34414,0.24677,0.36835,0.35919,0.53113,0.44831,0.35648,0.34247,0.37343,0.35648,0.32931,0.37326,0.32535,0.44876,0.39572,0.12912,0.06921,0.08226,0.08598,0.10061,0.06987,0.06577,0.07748,0.0876,0.12612,0.07113,0.09386,0.07982,0.07767,0.094,0.13842,0.08613,0.08037,0.07661,0.05458,0.04976,0.08752,0.07582,0.08351,0.059,0.13379,0.08,0.07442,0.03898,0.04858,0.04569,0.07372,0.07397,0.07211,0.07929,0.10703
regulation of protein modification process,0.3884,0.4274,0.30553,0.55268,0.48478,1.0,0.59276,0.55111,0.31634,0.21759,0.2381,0.32733,0.3592,0.32251,0.33094,0.35661,0.34816,0.37028,0.35661,0.26382,0.33184,0.23581,0.28842,0.28842,0.10038,0.05012,0.06008,0.06367,0.07421,0.05344,0.05021,0.05896,0.06734,0.09919,0.05538,0.07442,0.06138,0.05987,0.07465,0.10548,0.0653,0.05863,0.05691,0.04267,0.03935,0.06603,0.05868,0.06504,0.04396,0.10246,0.06258,0.05871,0.03083,0.03933,0.03631,0.05731,0.05285,0.05548,0.05954,0.07703
regulation of phosphorus metabolic process,0.46264,0.66539,0.40338,0.69679,0.50043,0.59276,1.0,0.7478,0.43332,0.28188,0.32497,0.43724,0.48769,0.43124,0.44815,0.47675,0.46042,0.50562,0.47675,0.35907,0.44343,0.31525,0.39325,0.39325,0.13912,0.06643,0.07978,0.08548,0.10086,0.06901,0.06552,0.07638,0.08935,0.13705,0.0703,0.09858,0.07933,0.07633,0.09985,0.14632,0.08748,0.07824,0.07554,0.05305,0.04834,0.08591,0.07452,0.08614,0.05673,0.14246,0.08312,0.07725,0.0377,0.04813,0.04497,0.07454,0.07091,0.07347,0.08009,0.10541
regulation of transferase activity,0.40332,0.51383,0.60697,0.59563,0.43608,0.55111,0.7478,1.0,0.38113,0.22572,0.25391,0.38201,0.39077,0.37649,0.39299,0.38593,0.36936,0.4047,0.38593,0.40503,0.38731,0.31462,0.38661,0.38661,0.13618,0.06976,0.08262,0.08761,0.10225,0.07154,0.06813,0.07891,0.09079,0.13391,0.07282,0.09896,0.08157,0.07878,0.0999,0.14357,0.08912,0.08109,0.07817,0.05582,0.05101,0.08824,0.07698,0.08738,0.05995,0.13962,0.08425,0.07859,0.0403,0.05048,0.04747,0.0765,0.07425,0.07544,0.08209,0.10708
biological regulation,0.31772,0.30006,0.3721,0.48169,0.3513,0.31634,0.43332,0.38113,1.0,0.3115,0.37615,0.50885,0.5234,0.50104,0.51059,0.51884,0.46475,0.55588,0.51884,0.47865,0.51809,0.42881,0.52237,0.52237,0.36718,0.34909,0.20536,0.20547,0.21158,0.22297,0.265,0.18826,0.20154,0.27746,0.16018,0.21151,0.18273,0.18658,0.21578,0.44064,0.4191,0.39994,0.37937,0.26394,0.23932,0.42492,0.36443,0.37036,0.29436,0.44721,0.3846,0.31618,0.15456,0.26445,0.3178,0.22812,0.22915,0.22081,0.2274,0.55862
negative regulation of chromosome organization,0.20795,0.20757,0.20973,0.29817,0.34414,0.21759,0.28188,0.22572,0.3115,1.0,0.23356,0.31875,0.34862,0.5447,0.42023,0.46225,0.5336,0.35797,0.34528,0.2567,0.32277,0.22832,0.33269,0.27827,0.09719,0.04884,0.05827,0.06188,0.07177,0.05217,0.04931,0.05748,0.06564,0.09622,0.0542,0.07269,0.05986,0.05834,0.07298,0.10168,0.06364,0.05694,0.05547,0.04201,0.03885,0.06405,0.05723,0.06359,0.0431,0.09893,0.06132,0.05768,0.03067,0.03899,0.03609,0.05615,0.05137,0.05445,0.05814,0.07414
