,clust
extracellular structure organization,1
cell cycle,1
sex determination,1
male gamete generation,1
regulation of neuron death,2
neuron death,2
mitochondrial membrane organization,2
regulation of mitochondrial membrane potential,2
intrinsic apoptotic signaling pathway in response to DNA damage,2
negative regulation of extrinsic apoptotic signaling pathway,2
negative regulation of intrinsic apoptotic signaling pathway,2
ovarian follicle development,2
mitotic cell cycle process,2
regulation of growth,2
cell death,2
regulation of metabolic process,3
regulation of biosynthetic process,3
regulation of immune system process,3
regulation of developmental process,3
regulation of multicellular organismal development,3
negative regulation of cell population proliferation,3
negative regulation of multicellular organismal process,3
sensory system development,3
neuron differentiation,3
negative regulation of developmental process,3
immune system process,3
SMAD protein signal transduction,3
mesoderm development,3
hemoglobin metabolic process,3
roof of mouth development,3
negative regulation of immune system process,3
embryo development,3
enzyme linked receptor protein signaling pathway,3
positive regulation of reproductive process,3
cellular developmental process,4
developmental process,4
male sex differentiation,4
anatomical structure morphogenesis,4
regulation of cell population proliferation,4
cell surface receptor signaling pathway,4
negative regulation of biological process,4
regulation of response to stimulus,4
regulation of localization,4
response to endogenous stimulus,5
response to abiotic stimulus,5
cell population proliferation,5
response to oxygen-containing compound,5
multi-organism process,5
regulation of intracellular signal transduction,5
cell development,5
phenol-containing compound metabolic process,6
kidney morphogenesis,6
metanephros development,6
homeostasis of number of cells within a tissue,6
exocrine system development,6
regulation of stem cell differentiation,6
regulation of epithelial to mesenchymal transition,6
cellular response to transforming growth factor beta stimulus,6
epithelial to mesenchymal transition,6
regulation of locomotion,6
growth,6
response to lipid,6
gland development,6
