"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene11263",8279.02247536715,0.153394038103998,0.060185198968076,2.54870035713204,0.0108125157803921,0.118937673584313
"gene24640",256.585598052276,0.187771567482473,0.22873504866054,0.820912967129668,0.411695844359058,0.646950612564234
"gene24643",593.6591978279,-0.130476954615453,0.115052394825288,-1.1340655256554,0.256767063149335,0.646950612564234
"gene24647",17.1157151041973,1.09134128001208,1.06619744802173,1.02358271635052,0.306032412216178,0.646950612564234
"gene11268",373.105540253774,-0.135931658934378,0.131568418827832,-1.03316327843276,0.301527494529733,0.646950612564234
"gene11269",23.4290208180609,0.439535214884758,0.491524667241431,0.894228192761002,0.371199810817621,0.646950612564234
"gene11262",5095.43770393846,0.0785932557142046,0.0538673505337724,1.45901468951829,0.144561064671565,0.646950612564234
"gene11260",30.0733734185178,-0.471165578185389,0.743578666861964,-0.633645906187429,0.526311934649317,0.723678910142811
"gene24642",174.392139174715,0.0735375024910684,0.215583983282727,0.341108376287064,0.733021995631845,0.895915772438922
"gene24648",6.51563553952284,-0.0788546990536298,1.83280126973528,-0.0430241403450245,0.965682290455184,0.965682290455184
"gene7528",1009.6018038371,0.00857526800784873,0.0998053798875308,0.0859198974795955,0.93153009409865,0.965682290455184
"gene24641",0,NA,NA,NA,NA,NA
"gene24644",0,NA,NA,NA,NA,NA
"gene24645",0,NA,NA,NA,NA,NA
"gene24646",0,NA,NA,NA,NA,NA
"gene24649",0,NA,NA,NA,NA,NA
