Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene0	LOC425783	1	+	117	2861	61.715477	15.702685	38.123001
gene1	LOC107054287	1	+	4376	5931	0.000000	0.000000	0.000000
gene2	LOC107053477	1	-	4975	6219	0.000000	0.000000	0.000000
gene3	LOC430443	1	-	9080	16180	1.294543	0.329379	0.799668
gene4	LOC107053049	1	-	20935	25758	0.000000	0.000000	0.000000
gene5	GOLGB1	1	+	31502	68660	70.094582	17.861826	43.364967
gene6	HCLS1	1	+	70083	82103	0.229274	0.058404	0.141793
gene7	OR9Q1	1	-	84248	86273	0.148075	0.037676	0.091469
gene8	NME6	1	-	95447	98723	15.499718	3.943698	9.574515
gene9	RABL2B	1	+	98771	102698	13.237181	3.368025	8.176896
gene10	ACR	1	-	103643	106172	0.204806	0.052110	0.126513
gene11	LOC107053643	1	-	106904	108723	40.479965	10.299591	25.005360
gene12	LOC107054191	1	+	111164	111928	0.000000	0.000000	0.000000
gene13	LOC107053478	1	-	112848	115376	0.000000	0.000000	0.000000
gene14	ARSA	1	-	116105	121720	74.368622	22.443634	54.488686
gene15	LOC769176	1	-	123499	125343	0.000000	0.000000	0.000000
gene16	SHANK3	1	+	141463	398198	0.925357	0.235445	0.571613
gene17	MIR6708	1	+	292474	292583	0.000000	0.000000	0.000000
gene18	MIR1604	1	+	317086	317182	0.000000	0.000000	0.000000
gene19	LOC101749001	1	+	401205	427063	4.830187	1.228977	2.983712
gene20	PAX4	1	+	442349	446639	0.000000	0.000000	0.000000
gene21	LOC107055071	1	-	456164	463553	22.628414	5.757500	13.978066
gene22	GCC1	1	+	463906	468791	48.493374	12.338496	29.955418
gene23	DENND6B	1	-	469725	485807	33.068115	10.776205	26.162487
gene24	PPP6R2	1	+	494391	563530	9.362923	14.045566	34.099846
gene25	MIR1651	1	+	539155	539238	0.000000	0.000000	0.000000
gene26	SBF1	1	-	575804	635127	117.090439	30.534409	74.131477
gene27	MIOX	1	+	641608	644959	0.432103	0.111721	0.271236
gene28	LMF2	1	-	645079	651789	320.624512	86.140541	209.132126
gene29	NCAPH2	1	+	651709	661438	37.266811	13.812909	33.535000
gene30	SCO2	1	-	661430	662717	50.306820	12.799903	31.075624
gene31	LOC107052555	1	+	664161	670373	1.255220	0.327817	0.795875
gene32	IRF5	1	+	672595	677898	1.140607	0.290212	0.704578
gene33	TNPO3	1	-	678687	697699	121.032776	30.795187	74.764595
gene34	SMO	1	+	704024	712547	291.374207	74.136307	179.988235
gene35	AHCYL2	1	+	713454	757799	12.056144	22.417400	54.424995
